pair,amount,volume,side,timestamp,user_id
AAVENGN,500.26,0.00122227,buy,2024-12-03T01:42:07.072672Z,541-1561-1521-1561-148
ADANGN,889.2,0.5,sell,2024-12-02T11:29:56.860014Z,491-1541-1521-1571-156
ADANGN,30653.12,17.1,sell,2024-11-30T05:25:49.99166Z,1021-1481-1521-1561-1100
ADANGN,1978.36,1.1,sell,2024-12-07T07:41:02.191598Z,981-1571-1521-1971-151
ADANGN,2913.62,1.6,sell,2024-12-07T21:16:11.791118Z,981-1571-1521-1971-151
ADANGN,20828.04,10.3,buy,2024-12-05T04:24:33.319854Z,491-11021-1521-1971-156
ADANGN,59522.4,36.1,sell,2024-12-11T07:36:49.632222Z,521-1511-1521-1971-152
ADANGN,40466.48,22.5,sell,2024-12-07T08:25:44.520502Z,521-1511-1521-1971-152
ADANGN,499852.19,257.6,sell,2024-12-04T12:12:42.35666Z,541-1491-1521-1981-152
ADANGN,35510.8,20,sell,2024-11-30T05:34:49.114007Z,981-11021-1521-1971-1101
ADANGN,1045.7,0.5,sell,2024-12-03T02:03:43.083264Z,981-11001-1521-1571-148
ADANGN,11950.16,7.6,sell,2024-12-10T13:41:54.467789Z,511-1541-1521-1971-198
ADANGN,40264.79,24.6,sell,2024-11-28T16:38:38.206715Z,511-1541-1521-1971-198
ADANGN,34919.2,20,sell,2024-12-11T14:19:28.503278Z,1021-1551-1521-1571-1102
ADANGN,200099.25,112.5,sell,2024-11-30T06:20:15.89133Z,1021-1551-1521-1571-1102
ADANGN,209100.09,110.2,sell,2024-12-05T04:38:58.314858Z,531-1971-1521-1571-1102
ADANGN,30950.26,18.9,sell,2024-11-28T16:13:04.768152Z,531-1971-1521-1571-1102
ADANGN,84650.41,47.6,sell,2024-11-30T05:49:23.586641Z,531-1971-1521-1571-1102
ADANGN,270489.5,163.5,sell,2024-12-06T12:59:49.155164Z,1021-1491-1521-1561-152
ADANGN,3769.54,2.1,sell,2024-11-30T19:23:50.237844Z,971-1561-1521-1561-156
ADANGN,8447.95,4.8,sell,2024-11-29T12:01:47.89156Z,971-1511-1521-1571-148
ADANGN,1050855.83,533.6,sell,2024-12-03T18:27:24.029513Z,491-1551-1521-1971-156
ADANGN,49853.43,30.1,sell,2024-12-06T13:25:30.220124Z,531-1561-1521-1571-151
ALGONGN,4018.43,4.562824,sell,2024-12-03T00:56:45.175235Z,511-11001-1521-1981-150
ALGONGN,996.59,1.123128,sell,2024-12-03T02:49:29.696078Z,511-11001-1521-1981-150
ALGONGN,1001.13,1.11833,sell,2024-12-03T03:05:53.936972Z,511-11001-1521-1981-150
ALGONGN,1015.59,1.118956,sell,2024-12-03T03:10:17.903995Z,511-11001-1521-1981-150
ALGONGN,5021.38,7.717716,buy,2024-11-29T12:11:52.38927Z,1021-1561-1521-1561-197
ALGONGN,18999.09,28.923229,sell,2024-12-10T13:49:36.354683Z,991-1561-1521-1971-152
ATOMNGN,556.02,0.03439989,sell,2024-12-03T01:40:45.570758Z,541-1561-1521-1561-148
AXSUSDT,199.49,20.89,buy,2024-12-03T01:06:46.190406Z,531-1501-1521-1981-151
BAKENGN,954.86,1.6,sell,2024-12-03T00:57:01.908583Z,511-11001-1521-1981-150
BAKENGN,993.11,1.7,sell,2024-11-30T19:18:38.312158Z,511-11001-1521-1981-150
BAKENGN,99979.88,182,buy,2024-12-09T22:48:02.951432Z,571-1561-1521-1981-198
BCHNGN,800.15,0.00091102,sell,2024-11-30T18:56:55.580631Z,531-1981-1521-1971-153
BCHNGN,250,0.00028718,sell,2024-12-06T13:44:42.998135Z,531-1981-1521-1971-153
BCHUSDT,99.7,0.16,buy,2024-12-07T20:53:23.094583Z,481-1521-1521-1561-155
BNBNGN,126419.23,0.15422051,sell,2025-03-11T14:23:23.270147Z,971-11001-1521-1571-1101
BNBNGN,7029.31,0.00643377,sell,2024-12-07T07:54:37.957317Z,551-11001-1521-1571-157
BNBNGN,22718.32,0.02125913,sell,2024-11-27T20:51:34.258095Z,1001-1521-1521-1971-1102
BNBNGN,37025.55,0.03434028,sell,2024-12-10T20:02:11.371201Z,1001-1521-1521-1971-1102
BNBNGN,2810.88,0.0025319,sell,2024-12-11T13:15:45.221801Z,551-11011-1521-1981-157
BNBNGN,11871.2,0.011,sell,2024-11-30T19:05:57.640711Z,481-11021-1521-1971-1101
BNBNGN,6325.32,0.00581985,sell,2024-11-29T12:03:49.237544Z,541-1541-1521-1981-197
BNBNGN,24990.46,0.02308307,sell,2024-12-03T18:01:15.588362Z,991-1541-1521-1981-151
BNBNGN,32209.51,0.0293965,sell,2024-12-03T18:17:06.956371Z,991-1541-1521-1981-151
BNBNGN,26381.47,0.02415823,sell,2024-12-01T15:59:00.98927Z,1001-1551-1521-1571-148
BNBNGN,6638.36,0.00617312,sell,2024-11-28T16:15:02.663442Z,1001-1551-1521-1571-148
BNBNGN,5572.2,0.00515717,sell,2024-12-03T01:11:50.631292Z,1001-11011-1521-1571-1101
BNBNGN,25052.89,0.02276956,sell,2024-12-07T07:27:58.015311Z,501-1571-1521-1561-197
BNBNGN,37955.56,0.03355449,sell,2024-12-05T17:59:59.412556Z,971-1501-1521-1971-153
