asset,amount,activity_type,timestamp,user_id
NGN,131062,withdrawal,2025-01-17T14:37:56.806446Z,561-1561-1521-1981-1101
NGN,50000,withdrawal,2025-01-17T14:37:56.818033Z,971-11001-1521-1571-1101
NGN,131062,deposit,2025-01-17T14:37:56.853225Z,481-11011-1521-1971-1100
NGN,20064,withdrawal,2025-01-17T17:05:18.201218Z,531-11001-1521-1571-198
NGN,2000,withdrawal,2025-01-17T14:38:22.555744Z,501-11021-1521-1561-154
USDT,10,deposit,2025-01-17T14:38:50.413408Z,481-11001-1521-1981-154
NGN,10000,withdrawal,2025-01-17T14:39:06.042808Z,491-1561-1521-1981-198
NGN,11959,withdrawal,2025-01-17T14:39:13.31635Z,551-11021-1521-1971-198
NGN,2000,deposit,2025-01-17T14:39:45.669391Z,971-1531-1521-1981-153
NGN,9963,withdrawal,2025-01-17T14:41:44.208102Z,1001-11011-1521-1971-149
NGN,7000,withdrawal,2025-01-17T14:42:02.03015Z,1001-1491-1521-1981-1100
SOL,0.0090951,deposit,2025-01-17T14:42:06.457063Z,991-1511-1521-1561-198
SOL,0.101,deposit,2025-01-17T14:42:16.360057Z,991-1541-1521-1971-153
NGN,60000,withdrawal,2025-01-17T14:42:25.311775Z,971-11001-1521-1571-1101
NGN,30000,withdrawal,2025-01-17T14:42:55.242381Z,531-11001-1521-1561-149
NGN,20992,withdrawal,2025-01-17T17:07:03.628213Z,551-1501-1521-1971-155
NGN,12035,withdrawal,2025-01-17T14:43:01.774044Z,531-11001-1521-1561-149
USDT,50,deposit,2025-01-17T14:43:02.140076Z,501-1481-1521-1561-151
USDT,200,deposit,2025-01-17T14:43:24.831323Z,991-1971-1521-1971-155
NGN,30318,withdrawal,2025-01-17T14:43:38.194104Z,1021-1971-1521-1561-151
NGN,10000,withdrawal,2025-01-17T14:43:44.523684Z,531-1511-1521-1561-197
NGN,65100,deposit,2025-01-17T14:43:54.348204Z,491-1541-1521-1571-156
USDT,664.66,deposit,2025-01-17T14:44:00.385586Z,551-1491-1521-1571-1102
NGN,257280,withdrawal,2025-01-17T14:44:30.608458Z,501-1991-1521-1561-154
TRX,57.789802,deposit,2025-01-17T14:44:51.970361Z,981-1511-1521-1981-149
NGN,30000,withdrawal,2025-01-17T14:45:04.385089Z,991-1971-1521-1971-155
NGN,9897,withdrawal,2025-01-17T14:45:08.60477Z,981-11021-1521-1971-148
NGN,4959,withdrawal,2025-01-17T14:45:09.654061Z,491-1551-1521-1981-148
USDT,10.88,deposit,2025-01-17T14:46:03.720154Z,521-1571-1521-1561-154
NGN,2000,withdrawal,2025-03-12T16:06:45.665706Z,971-1511-1521-1561-154
NGN,10000,withdrawal,2025-03-12T16:06:49.359304Z,501-1511-1521-1561-1100
NGN,10000,withdrawal,2025-03-12T16:07:01.835357Z,531-11001-1521-1561-149
USDT,16.814745,deposit,2025-01-17T14:46:07.827021Z,991-1551-1521-1571-154
NGN,4017,withdrawal,2025-01-17T14:46:18.330274Z,551-11001-1521-1571-157
NGN,4017,deposit,2025-01-17T14:46:18.350277Z,991-1491-1521-1971-154
NGN,13000,withdrawal,2025-03-12T16:06:57.013942Z,531-11001-1521-1561-149
NGN,2750,deposit,2025-03-12T16:56:32.485804Z,551-11021-1521-1971-199
NGN,7500,deposit,2025-03-12T16:56:37.757278Z,551-11021-1521-1971-199
NGN,221150,withdrawal,2025-01-17T14:46:39.212132Z,971-1971-1521-1981-199
NGN,50000,withdrawal,2025-05-08T15:13:50.219763Z,481-1521-1521-1571-199
NGN,25100,withdrawal,2025-03-12T15:04:33.319Z,1011-11001-1521-1981-1101
NGN,2101,withdrawal,2025-03-12T17:41:32.7534Z,531-1511-1521-1971-153
NGN,100000,withdrawal,2025-01-17T14:47:02.744839Z,501-1481-1521-1561-151
NGN,11000,withdrawal,2025-01-17T14:47:34.490432Z,971-1531-1521-1571-199
NGN,60000,withdrawal,2025-01-17T14:47:38.082227Z,971-11001-1521-1571-1101
LTC,0.01632292,deposit,2025-01-17T14:47:50.592833Z,491-1521-1521-1571-1100
NGN,44050,withdrawal,2025-03-12T11:11:41.177666Z,991-1511-1521-1561-151
NGN,30000,withdrawal,2025-03-12T11:11:46.40468Z,991-1491-1521-1971-154
NGN,30000,deposit,2025-03-12T11:11:46.410303Z,541-1981-1521-1571-1101
NGN,40000,withdrawal,2025-03-12T13:27:01.90708Z,521-11001-1521-1561-148
NGN,60000,withdrawal,2025-03-12T17:28:07.429759Z,491-1491-1521-1981-153
USDT,30.1,deposit,2025-01-17T14:48:53.430208Z,481-1551-1521-1561-153
NGN,10000,withdrawal,2025-01-17T14:49:04.60757Z,491-1561-1521-1981-198
USDT,3089.149609,deposit,2025-01-17T14:49:10.769959Z,981-1981-1521-1981-148
